se_url,stock_name,company_url,company_name,date,ticker,se
/markets/NZSX/securities/NZO,New Zealand Oil & Gas Limited Ordinary Shares,http://www.nzog.com/,New Zealand Oil and Gas Limited (NZO),,NZO,NZ
/markets/NZSX/securities/NZM,NZME Limited,http://www.nzme.co.nz,NZME Limited (NZM),,NZM,NZ
/markets/NZSX/securities/NZK,NZ King Salmon Investments Limited Ordinary Shares,http://www.kingsalmon.co.nz,New Zealand King Salmon Investments Limited (NZK),,NZK,NZ
/markets/NZSX/securities/NZF,NZF Group Limited Ordinary Shares,http://www.nzf.co.nz/,NZF Group Limited (NZF),,NZF,NZ
/markets/NZSX/securities/NZC,NZ Cash Fund (NS) Units,http://www.smartshares.co.nz,New Zealand Cash Fund (NS) (NZC),,NZC,NZ
/markets/NZSX/securities/NZB,NZ Bond Fund (NS) Units,http://www.smartshares.co.nz,NZ Bond Fund (NS) (NZB),,NZB,NZ
/markets/NZSX/securities/NWF,NZ Windfarms Limited Ordinary Shares,http://www.nzwindfarms.co.nz/,NZ Windfarms Limited (NWF),,NWF,NZ
/markets/NZSX/securities/NTL,New Talisman Gold Mines Limited Ordinary Shares,http://www.newtalismangoldmines.co.nz/,New Talisman Gold Mines Limited (NTL),,NTL,NZ
/markets/NZSX/securities/NPT,NPT Limited Ordinary Shares,http://www.npt.co.nz/,NPT Limited (NPT),,NPT,NZ
/markets/NZSX/securities/NPF,NZ Property Fund (NS) Units,http://www.smartshares.co.nz,NZ Property Fund (NS) (NPF),,NPF,NZ
/markets/NZSX/securities/MZY,Australian Mid Cap Fund (NS) Units,http://www.smartshares.co.nz/,Australian Mid Cap Fund (NS) (MZY),,MZY,NZ
/markets/NZSX/securities/MVT,Mercantile Investment Company Limited Ordinary Shares,http://www.mercantileinvestment.com.au,Mercantile Investment Company Limited (MVT),,MVT,NZ
/markets/NZSX/securities/MVN,Methven Limited Ordinary Shares,http://www.methven.com/,Methven Limited (MVN),,MVN,NZ
/markets/NZSX/securities/MPG,Metro Performance Glass Limited Ordinary Shares,http://www.metroglass.co.nz,Metro Performance Glass Limited (MPG),,MPG,NZ
/markets/NZSX/securities/MOA,Moa Group Limited Ordinary Shares,http://www.moabeer.co.nz,Moa Group Limited (MOA),,MOA,NZ
/markets/NZSX/securities/MMH,Marsden Maritime Holdings Limited (NS) Ordinary Shares,http://www.marsdenmaritime.co.nz,Marsden Maritime Holdings Limited (NS) (MMH),,MMH,NZ
/markets/NZSX/securities/MLN,Marlin Global Limited Ordinary Shares,http://www.marlin.co.nz/,Marlin Global Limited (MLN),,MLN,NZ
/markets/NZSX/securities/MHJ,Michael Hill International Limited,http://investor.michaelhill.com,Michael Hill International Limited (MHJ),,MHJ,NZ
/markets/NZSX/securities/MGL,Mercer Group Limited Ordinary Shares,http://www.mercers.co.nz/,Mercer Group Limited (MGL),,MGL,NZ
/markets/NZSX/securities/MFT,Mainfreight Limited Ordinary Shares,http://www.mainfreight.com/,Mainfreight Limited (MFT),,MFT,NZ
/markets/NZSX/securities/MET,Metlifecare Limited Ordinary shares,http://www.metlifecare.co.nz/,Metlifecare Limited (MET),,MET,NZ
/markets/NZSX/securities/MDZ,NZ Mid Cap Fund (NS) Units,http://www.smartshares.co.nz/,NZ Mid Cap Fund (NS) (MDZ),,MDZ,NZ
/markets/NZSX/securities/MEL,Meridian Energy Limited (NS) Ordinary Shares,http://www.meridianenergy.co.nz/,Meridian Energy Limited (MEL),,MEL,NZ
/markets/NZSX/securities/MCY,Mercury NZ Limited Ordinary Shares,http://www.mercury.co.nz,Mercury NZ Limited (NS) (MCY),,MCY,NZ
/markets/NZSX/securities/MCK,Millennium & Copthorne Hotels NZ Limited Ordinary Shares,http://www.millenniumhotels.co.nz/,Millennium & Copthorne Hotels New Zealand Limited (MCK),,MCK,NZ
/markets/NZSX/securities/MAD,Energy Mad Limited Ordinary Shares,http://www.energymad.com,Energy Mad Limited (MAD),,MAD,NZ
/markets/NZSX/securities/KMD,Kathmandu Holdings Limited Ordinary Shares,http://www.kathmandu.co.nz/,Kathmandu Holdings Limited (KMD),,KMD,NZ
/markets/NZSX/securities/KPG,Kiwi Property Group Limited Ordinary Shares,http://www.kp.co.nz,Kiwi Property Group Limited (KPG),,KPG,NZ
/markets/NZSX/securities/KFL,Kingfish Limited Ordinary Shares,http://www.kingfishlimited.co.nz/,Kingfish Limited (KFL),,KFL,NZ
/markets/NZSX/securities/JPG,JPMorgan Global Growth & Income plc Shares,http://www.jpmfoverseas.com/,JPMorgan Global Growth & Income plc (JPG),,JPG,NZ
/markets/NZSX/securities/JFJ,JPMorgan Japanese Investment Trust Plc Ord Shares,http://www.jpmjapanese.co.uk/,JPMorgan Japanese Investment Trust plc (JFJ),,JFJ,NZ
/markets/NZSX/securities/IQE,Intueri Education Group Limited Ordinary Shares,http://www.intueri.co.nz,Intueri Education Group Limited (IQE),,IQE,NZ
/markets/NZSX/securities/IPL,Investore Property Limited (NS) Ordinary Shares,http://www.investoreproperty.co.nz,Investore Property Limited (NS) (IPL),,IPL,NZ
/markets/NZSX/securities/IKE,ikeGPS Group Limited Ordinary Shares,http://www.ikegps.com,ikeGPS Group Limited (IKE),,IKE,NZ
/markets/NZSX/securities/IFT,Infratil Limited Ordinary Shares,http://www.infratil.com/,Infratil Limited (IFT),,IFT,NZ
/markets/NZSX/securities/HLG,Hallenstein Glasson Holdings Limited Ordinary Shares,http://www.hallensteinglasson.co.nz/,Hallenstein Glasson Holdings Limited (HLG),,HLG,NZ
/markets/NZSX/securities/HFL,Henderson Far East Income Limited Ordinary Shares,http://www.itshenderson.com/,Henderson Far East Income Limited (HFL),,HFL,NZ
/markets/NZSX/securities/HBL,Heartland Bank Limited Ordinary Shares,http://www.heartland.co.nz/,Heartland Bank Limited (HBL),,HBL,NZ
/markets/NZSX/securities/GXH,Green Cross Health Limited Ordinary Shares,http://www.greencrosshealth.co.nz,Green Cross Health Limited (GXH),,GXH,NZ
/markets/NZSX/securities/GTK,Gentrack Group Limited Ordinary Shares,http://www.gentrack.com,Gentrack Group Limited (GTK),,GTK,NZ
/markets/NZSX/securities/GMT,Goodman Property Trust Ordinary Units,http://www.goodman.com/gmt/,Goodman Property Trust (GMT),,GMT,NZ
/markets/NZSX/securities/GNE,Genesis Energy Limited Ordinary Shares,http://www.genesisenergy.co.nz/,Genesis Energy Limited (NS) (GNE),,GNE,NZ
/markets/NZSX/securities/GBF,Global Bond Fund (NS) Units,http://www.smartshares.co.nz,Global Bond Fund (NS) (GBF),,GBF,NZ
/markets/NZSX/securities/FSF,Fonterra Shareholders' Fund Units,http://www.fonterra.com,Fonterra Shareholders' Fund (NS) (FSF),,FSF,NZ
/markets/NZSX/securities/FRE,Freightways Limited Ordinary Shares,http://www.freightways.co.nz/,Freightways Limited (FRE),,FRE,NZ
/markets/NZSX/securities/FPH,Fisher & Paykel Healthcare Corporation Limited Ord Shares,http://www.fphcare.co.nz/,Fisher & Paykel Healthcare Corporation Limited (FPH),,FPH,NZ
/markets/NZSX/securities/FNZ,NZ Top 50 Fund (NS) Units,http://www.smartshares.co.nz/,NZ Top 50 Fund (NS) (FNZ),,FNZ,NZ
/markets/NZSX/securities/FMS,Future Mobility Solutions Limited Ordinary Shares,http://www.sealegs.com/,Future Mobility Solutions Limited (FMS),,FMS,NZ
/markets/NZSX/securities/FLI,Fliway Group Limited Ordinary Shares,http://www.fliway.co.nz/,Fliway Group Limited (FLI),,FLI,NZ
/markets/NZSX/securities/FIN,Finzsoft Solutions Limited Ordinary Shares,http://www.finzsoft.com/,Finzsoft Solutions Limited (FIN),,FIN,NZ
/markets/NZSX/securities/FCT,Foreign & Colonial Investment Trust Plc Ordinary Units,http://www.foreignandcolonial.com/,Foreign & Colonial Investment Trust Plc (FCT),,FCT,NZ
/markets/NZSX/securities/FBU,Fletcher Building Limited Ordinary Shares,http://www.fletcherbuilding.com/,Fletcher Building Limited (FBU),,FBU,NZ
/markets/NZSX/securities/EVO,Evolve Education Group Limited Ordinary Shares,http://www.evolveeducation.co.nz,Evolve Education Group Limited (EVO),,EVO,NZ
/markets/NZSX/securities/EUT,The European Investment Trust plc Ordinary Units,http://theeuropeaninvestmenttrust.com/,The European Investment Trust plc (EUT),,EUT,NZ
/markets/NZSX/securities/EUF,Europe Fund (NS) Units,http://smartshares.co.nz/,Europe Fund (NS) (EUF),,EUF,NZ
/markets/NZSX/securities/ERD,EROAD Limited Ordinary Shares,http://www.eroad.co.nz,EROAD Limited (ERD),,ERD,NZ
/markets/NZSX/securities/EMF,Emerging Markets Fund (NS) Units,http://smartshares.co.nz/,Emerging Markets Fund (NS) (EMF),,EMF,NZ
/markets/NZSX/securities/EBO,Ebos Group Limited Ordinary Shares,http://www.ebos.co.nz/,Ebos Group Limited (EBO),,EBO,NZ
/markets/NZSX/securities/DOW,Downer EDI Limited Ordinary Shares,http://www.downergroup.com/,Downer EDI Limited (DOW),,DOW,NZ
/markets/NZSX/securities/DIV,NZ Dividend Fund (NS) Units,http://www.smartshares.co.nz,NZ Dividend Fund (NS) (DIV),,DIV,NZ
/markets/NZSX/securities/DGL,Delegat Group Limited Ordinary Shares,http://www.delegat.co.nz/,Delegat Group Limited (DGL),,DGL,NZ
/markets/NZSX/securities/CMO,The Colonial Motor Company Limited Ordinary Shares,http://www.colmotor.co.nz/,The Colonial Motor Company Limited (CMO),,CMO,NZ
/markets/NZSX/securities/CVT,Comvita Limited Ordinary Shares,http://www.comvita.co.nz/,Comvita Limited (CVT),,CVT,NZ
/markets/NZSX/securities/CNU,Chorus Limited (NS) Ordinary Shares,http://www.chorus.co.nz,Chorus Limited (NS) (CNU),,CNU,NZ
/markets/NZSX/securities/ASF,Australian Financials Fund (NS) Units,http://www.smartshares.co.nz,Australian Financials Fund (NS) (ASF),,ASF,NZ
/markets/NZSX/securities/CEN,Contact Energy Limited Ordinary Shares,http://www.contactenergy.co.nz/,Contact Energy Limited (CEN),,CEN,NZ
/markets/NZSX/securities/ASD,Australian Dividend Fund (NS) Units,http://www.smartshares.co.nz/,Australian Dividend Fund (NS) (ASD),,ASD,NZ
